Date, Close/Last, Volume, Open, High, Low
06/15/2020, $1419.85, 1506096, $1390.8, $1424.7999, $1387.92
06/12/2020, $1413.18, 1946367, $1428.49, $1437, $1386.02
06/11/2020, $1403.84, 1991332, $1442.48, $1454.475, $1402
06/10/2020, $1465.85, 1525153, $1459.54, $1474.259, $1456.27
06/09/2020, $1456.16, 1409249, $1445.36, $1468, $1443.21
06/08/2020, $1446.61, 1404178, $1422.34, $1447.99, $1422.34
06/05/2020, $1438.39, 1735244, $1413.17, $1445.05, $1406
06/04/2020, $1412.18, 1484272, $1430.4, $1438.96, $1404.73
06/03/2020, $1436.38, 1256186, $1438.3, $1446.5522, $1429.7772
06/02/2020, $1439.22, 1278128, $1430.55, $1439.61, $1418.83
06/01/2020, $1431.82, 1217140, $1418.39, $1437.96, $1418
05/29/2020, $1428.92, 1838059, $1416.94, $1432.57, $1413.35
05/28/2020, $1416.73, 1693976, $1396.86, $1440.84, $1396
05/27/2020, $1417.84, 1686142, $1417.25, $1421.74, $1391.29
05/26/2020, $1417.02, 2060643, $1437.27, $1441, $1412.13
05/22/2020, $1410.42, 1309408, $1396.71, $1412.76, $1391.83
05/21/2020, $1402.8, 1385194, $1408, $1415.49, $1393.45
05/20/2020, $1406.72, 1655375, $1389.58, $1410.42, $1387.25
05/19/2020, $1373.485, 1280649, $1386.997, $1392, $1373.485
05/18/2020, $1383.94, 1823964, $1361.75, $1392.325, $1354.25
